siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
S176-Out,SEKI,374090.4316,4073037.24,2,OverSamp,4.846153846,10441,10521.7,802
S177-Out,SEKI,362944.4828,4099394.409,5,OverSamp,24.2,10250,23560.7,701
S178-Out,SEKI,353879.182,4109012.617,3,OverSamp,21.45454545,10102,15183.2,579
S179-Out,SEKI,382636.6372,4044456.616,4,OverSamp,24.57142857,20085,10565.1,564
S180-Out,SEKI,368234.8972,4061577.955,4,OverSamp,24.57142857,10611,11258.1,472
S181-Out,SEKI,360926.2191,4103822.935,4,OverSamp,24.57142857,10203,20957.5,823
S182-Out,SEKI,357194.8544,4019413.459,3,OverSamp,21.45454545,20302,15660.9,479
S183-Out,SEKI,359462.3112,4057387.685,4,OverSamp,24.57142857,10659,21201.5,577
S184-Out,SEKI,376938.8455,4063386.034,3,OverSamp,21.45454545,10801,26681.1,671
S185-Out,SEKI,350623.894,4116861.023,2,OverSamp,4.846153846,10044,71883.4,1185
S186-Out,SEKI,357280.4311,4078311.268,2,OverSamp,4.846153846,10455,13551.1,574
S187-Out,SEKI,379665.5342,4054890.522,4,OverSamp,24.57142857,20124,21622.8,1050
S188-Out,SEKI,360583.5641,4085037.309,4,OverSamp,24.57142857,10549,28447.1,618
S189-Out,SEKI,357997.5014,4099838.666,5,OverSamp,24.2,10202,12555.3,687
S190-Out,SEKI,364182.5833,4037750.811,3,OverSamp,21.45454545,20374,18120.8,698
S191-Out,SEKI,348817.2075,4058581.795,2,OverSamp,4.846153846,10682,20587.2,583
S192-Out,SEKI,372786.8658,4075039.445,3,OverSamp,21.45454545,10418,66835.3,1427
S193-Out,SEKI,372369.5253,4097974.582,4,OverSamp,24.57142857,10275,73828.4,1447
S194-Out,SEKI,345620.0102,4108700.293,4,OverSamp,24.57142857,10109,13141.2,449
S195-Out,SEKI,360675.1836,4036423.787,1,OverSamp,2.8,20381,12125.1,431
S196-Out,SEKI,347881.2724,4055838.08,2,OverSamp,4.846153846,20003,10783.3,468
S197-Out,SEKI,363210.5944,4089050.714,5,OverSamp,24.2,10539,12114.3,431
S198-Out,SEKI,347113.7429,4106719.436,5,OverSamp,24.2,10116,13074.7,566
S199-Out,SEKI,359950.1518,4049552.57,4,OverSamp,24.57142857,20345,74566.6,1260
S200-Out,SEKI,376358.7689,4070157.161,1,OverSamp,2.8,10452,12817.4,484
S201-Out,SEKI,362194.09,4107356.984,2,OverSamp,4.846153846,10219,42812.2,1533
S202-Out,SEKI,350502.7435,4024525.468,2,OverSamp,4.846153846,20301,20872.6,1057
S203-Out,SEKI,371148.7386,4047015.721,6,OverSamp,21.33333333,20151,39985.1,835
S204-Out,SEKI,378180.4169,4060422.304,3,OverSamp,21.45454545,20241,131065,1601
S205-Out,SEKI,345074.5688,4115434.685,3,OverSamp,21.45454545,10052,44810.1,1143
S206-Out,SEKI,346678.2869,4059649.838,2,OverSamp,4.846153846,10686,10637.8,588
S207-Out,SEKI,356520.2089,4055249.846,3,OverSamp,21.45454545,10673,39587.3,1026
S208-Out,SEKI,377080.9642,4083584.1,3,OverSamp,21.45454545,10353,11801.7,553
S209-Out,SEKI,369863.2568,4094888.393,3,OverSamp,21.45454545,10285,15996.9,559
